353.3968	340.51206
353.5032	328.62471
353.6096	314.69513
353.7159	314.20956
353.8223	315.64534
353.9287	329.30361
354.0351	343.95911
354.1414	352.3453
354.2478	354.42393
354.3541	351.36882
354.4604	341.13207
354.5668	345.02174
354.6731	352.86478
354.7794	354.4882
354.8857	368.67618
354.992	380.74451
355.0983	357.2711
355.2046	335.51114
355.3109	352.6441
355.4172	376.36986
355.5235	380.88493
355.6298	374.60688
355.736	384.76878
355.8423	402.60867
355.9485	441.48002
356.0548	434.69011
356.161	406.61677
356.2672	390.96018
356.3735	404.32043
356.4797	402.02846
356.5859	414.66049
356.6921	424.27819
356.7983	405.47999
356.9045	415.46768
357.0107	436.23165
357.1169	407.02108
357.223	386.73207
357.3292	385.66789
357.4354	400.43225
357.5415	403.473
357.6477	383.05282
357.7538	373.47309
357.8599	354.72824
357.9661	351.86995
358.0722	352.3852
358.1783	330.37025
358.2844	334.59952
358.3905	339.72736
358.4966	345.88385
358.6027	324.75794
358.7088	326.40586
358.8149	323.85378
358.921	332.45713
359.027	336.12737
359.1331	315.42859
359.2391	306.99328
359.3452	319.72066
359.4512	310.76867
359.5573	319.08731
359.6633	303.78628
359.7693	298.34349
359.8753	316.99332
359.9813	336.1974
360.0873	355.27313
360.1933	358.69347
360.2993	352.13082
360.4053	351.10741
360.5113	350.592
360.6173	357.66088
360.7232	352.30075
360.8292	345.98934
360.9351	353.02802
361.0411	370.81703
361.147	382.62106
361.253	381.83498
361.3589	393.90158
361.4648	397.59959
361.5707	381.98087
361.6766	382.96742
361.7825	378.84924
361.8884	371.83852
361.9943	362.58505
362.1002	354.3376
362.2061	354.09391
362.3119	355.69735
362.4178	340.09301
362.5237	343.1997
362.6295	329.32427
362.7354	328.88458
362.8412	330.40237
362.947	333.06545
363.0529	335.75528
363.1587	327.7579
363.2645	294.35406
363.3703	282.36359
363.4761	279.53416
363.5819	281.30116
363.6877	278.33641
363.7935	278.32302
363.8992	301.07187
364.005	301.48094
364.1108	301.12629
364.2165	303.77373
364.3223	293.07284
364.428	272.99732
364.5337	261.42434
364.6395	271.42098
364.7452	268.39758
364.8509	279.85414
364.9566	280.78788
365.0623	280.90835
365.168	265.14212
365.2737	246.68587
365.3794	244.90999
365.4851	277.11484
365.5908	263.26359
365.6965	267.86045
365.8021	252.57819
365.9078	249.53852
366.0134	246.59156
366.1191	225.16849
366.2247	235.06993
366.3303	236.89513
366.4359	235.88751
366.5415	233.04966
366.6472	245.48469
366.7528	246.37033
366.8584	237.21519
366.964	235.29871
367.0695	233.40312
367.1751	229.73931
367.2807	226.11301
367.3863	236.70654
367.4918	250.55773
367.5974	249.20597
367.7029	232.63416
367.8085	244.61367
367.914	236.02
368.0195	245.28758
368.125	245.25236
368.2306	261.21823
368.3361	262.92332
368.4416	254.40076
368.5471	251.65558
368.6526	249.04277
368.7581	258.79472
368.8635	255.24154
368.969	256.08353
369.0745	263.77074
369.1799	280.05762
369.2854	267.34171
369.3908	269.45442
369.4963	258.6304
369.6017	247.84921
369.7071	233.90742
369.8125	226.87814
369.918	235.15858
370.0234	220.63471
370.1288	210.42074
370.2342	210.50771
370.3395	207.95064
370.4449	203.77669
370.5503	214.71029
370.6557	206.56973
370.761	207.6535
370.8664	210.79033
370.9718	214.96088
371.0771	211.74485
371.1824	222.49778
371.2878	218.58907
371.3931	217.0297
371.4984	226.3163
371.6037	224.08038
371.709	241.07969
371.8143	261.71675
371.9196	272.57671
372.0249	273.24499
372.1302	263.08382
372.2355	270.64208
372.3407	278.7728
372.446	292.2605
372.5513	304.7391
372.6565	299.71273
372.7618	288.64778
372.867	297.15953
372.9722	294.91449
373.0774	281.03237
373.1827	269.24898
373.2879	271.38265
373.3931	252.74416
373.4983	242.87601
373.6035	232.00217
373.7087	243.76709
373.8139	246.92939
373.919	238.27984
374.0242	232.15382
374.1293	228.98204
374.2345	234.61613
374.3397	244.17301
374.4448	250.26832
374.5499	246.59498
374.6551	232.91892
374.7602	220.23058
374.8653	211.72866
374.9704	211.20523
375.0755	208.67112
375.1806	220.91782
375.2857	230.32405
375.3908	234.19156
375.4959	226.55046
375.6009	229.61979
375.706	229.11935
375.8111	227.22001
375.9161	215.44586
376.0212	213.03685
376.1262	212.96183
376.2312	198.99317
376.3363	190.3287
376.4413	186.7727
376.5463	191.10515
376.6513	194.02641
376.7563	186.19509
376.8613	184.28935
376.9663	185.08619
377.0713	190.22068
377.1763	185.54502
377.2812	189.6303
377.3862	172.19605
377.4912	169.27372
377.5961	176.34559
377.7011	181.59991
